Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J5,Conn_01x18_Socket,FPC_1.0K-ES-18PWB,113.150000,-173.600000,0.000000,bottom
C1,100n,C_0603_1608Metric,261.450000,-14.100000,180.000000,top
C2,22u,C_0603_1608Metric,264.450000,-14.100000,0.000000,top
C3,10u,C_0402_1005Metric,288.750000,-11.100000,180.000000,top
C4,100n,C_0603_1608Metric,291.400000,-11.100000,0.000000,top
C5,10u,C_0402_1005Metric,290.820000,-12.550000,0.000000,top
C6,100n,C_0603_1608Metric,52.825000,-101.325000,90.000000,top
C7,100n,C_0603_1608Metric,71.650000,-129.525000,-90.000000,top
C8,100n,C_0603_1608Metric,112.600000,-169.250000,-90.000000,top
C9,100n,C_0603_1608Metric,84.050000,-121.400000,-90.000000,top
C10,100n,C_0603_1608Metric,38.150000,-61.350000,0.000000,top
C11,100n,C_0603_1608Metric,77.100000,-73.500000,-90.000000,top
C12,100n,C_0603_1608Metric,159.700000,-80.000000,0.000000,top
C13,100n,C_0603_1608Metric,129.450000,-75.600000,-90.000000,top
C14,100n,C_0603_1608Metric,93.300000,-96.425000,90.000000,top
C15,100n,C_0603_1608Metric,193.100000,-89.700000,-90.000000,top
C16,100n,C_0603_1608Metric,81.425000,-35.300000,90.000000,top
C17,100n,C_0603_1608Metric,120.625000,-68.625000,-90.000000,top
C18,100n,C_0603_1608Metric,186.200000,-51.600000,90.000000,top
C19,100n,C_0603_1608Metric,105.100000,-104.550000,90.000000,top
C20,100n,C_0603_1608Metric,127.500000,-101.600000,90.000000,top
C21,100n,C_0603_1608Metric,94.250000,-70.500000,-90.000000,top
C22,100n,C_0603_1608Metric,173.000000,-84.000000,90.000000,top
C23,100n,C_0603_1608Metric,137.900000,-67.550000,-90.000000,top
C24,100n,C_0603_1608Metric,121.500000,-96.050000,90.000000,top
C25,100n,C_0603_1608Metric,141.550000,-79.250000,90.000000,top
C26,100n,C_0603_1608Metric,75.200000,-41.850000,90.000000,top
C27,100n,C_0603_1608Metric,156.100000,-46.200000,90.000000,top
C28,100n,C_0603_1608Metric,194.000000,-39.100000,90.000000,top
C29,100n,C_0603_1608Metric,119.650000,-105.350000,90.000000,top
C30,100n,C_0603_1608Metric,152.250000,-85.150000,180.000000,top
C31,100n,C_0603_1608Metric,93.500000,-64.950000,-90.000000,top
C32,100n,C_0603_1608Metric,100.500000,-83.650000,-90.000000,top
C33,100n,C_0603_1608Metric,83.375000,-90.450000,0.000000,top
C34,100n,C_0603_1608Metric,129.750000,-49.850000,0.000000,top
C35,100n,C_0603_1608Metric,148.500000,-84.600000,-90.000000,top
C36,100n,C_0603_1608Metric,71.400000,-37.900000,90.000000,top
C37,100n,C_0603_1608Metric,148.500000,-49.700000,90.000000,top
C38,100n,C_0603_1608Metric,164.300000,-36.400000,-90.000000,top
C39,100n,C_0603_1608Metric,112.700000,-74.000000,-90.000000,top
C40,100n,C_0603_1608Metric,105.900000,-74.000000,-90.000000,top
C41,100n,C_0603_1608Metric,104.000000,-63.650000,-90.000000,top
C42,100n,C_0603_1608Metric,120.100000,-81.250000,-90.000000,top
C43,100n,C_0603_1608Metric,89.950000,-102.825000,-90.000000,top
C44,100n,C_0603_1608Metric,128.275000,-66.600000,-90.000000,top
C45,100n,C_0603_1608Metric,88.500000,-84.600000,-90.000000,top
C46,100n,C_0603_1608Metric,66.425000,-59.700000,180.000000,top
C47,100n,C_0603_1608Metric,158.700000,-63.575000,-90.000000,top
